epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,174.864,1.11393,0.5623,0.00372,0.92369,0.86051,0.95505,0.65313,1.18034,0.57498,0.00476,0.000848969,0.000848969,0.000848969
43,178.9,1.13612,0.57441,0.00407,0.88377,0.81072,0.92588,0.65162,1.17909,0.56836,0.0047,0.000834822,0.000834822,0.000834822
44,182.944,1.16953,0.56296,0.00399,0.90082,0.80984,0.94149,0.66234,1.19117,0.54166,0.00472,0.000820675,0.000820675,0.000820675
45,187.141,1.1234,0.56635,0.00391,0.8274,0.95707,0.94873,0.66265,1.18128,0.52653,0.00468,0.000806528,0.000806528,0.000806528
46,191.411,1.12649,0.5289,0.00389,0.86208,0.92293,0.95267,0.6734,1.16524,0.52903,0.00462,0.00079238,0.00079238,0.00079238
47,195.495,1.12876,0.55533,0.00381,0.9726,0.84272,0.96737,0.66645,1.18791,0.56279,0.00481,0.000778233,0.000778233,0.000778233
48,199.49,1.13171,0.52968,0.00394,0.84104,0.92289,0.95103,0.66083,1.18256,0.55775,0.00479,0.000764086,0.000764086,0.000764086
49,203.506,1.10106,0.51955,0.0038,0.81686,0.88531,0.93813,0.64724,1.19911,0.53919,0.00481,0.000749939,0.000749939,0.000749939
50,207.543,1.1519,0.53912,0.00384,0.86176,0.85207,0.93618,0.66742,1.20113,0.539,0.00482,0.000735792,0.000735792,0.000735792
51,211.523,1.09408,0.51924,0.00389,0.77177,0.89482,0.92614,0.66153,1.20395,0.51813,0.00485,0.000721645,0.000721645,0.000721645
52,215.531,1.12054,0.50674,0.00396,0.83086,0.8914,0.92495,0.64161,1.21615,0.52886,0.005,0.000707498,0.000707498,0.000707498
53,219.529,1.06827,0.48973,0.00384,0.87019,0.87978,0.93669,0.64717,1.18255,0.52081,0.00481,0.000693351,0.000693351,0.000693351
54,223.529,1.0785,0.50287,0.00371,0.87125,0.88466,0.93204,0.66061,1.17077,0.50353,0.00471,0.000679204,0.000679204,0.000679204
55,227.577,1.05882,0.48135,0.00371,0.89394,0.84307,0.9312,0.64728,1.18491,0.51072,0.00478,0.000665057,0.000665057,0.000665057
56,231.706,1.09988,0.51726,0.00379,0.89673,0.83925,0.92972,0.65463,1.17592,0.55038,0.00481,0.000650909,0.000650909,0.000650909
57,235.688,1.06611,0.49045,0.00373,0.89392,0.87629,0.94332,0.66381,1.19243,0.51863,0.0048,0.000636762,0.000636762,0.000636762
58,239.681,1.08863,0.51338,0.00379,0.90392,0.87154,0.92283,0.64885,1.21188,0.50582,0.00483,0.000622615,0.000622615,0.000622615
59,243.67,1.10595,0.54453,0.00401,0.90052,0.89161,0.93854,0.64658,1.19581,0.56092,0.00475,0.000608468,0.000608468,0.000608468
60,247.698,1.0649,0.49442,0.00357,0.90066,0.8545,0.94326,0.66794,1.16167,0.53575,0.00461,0.000594321,0.000594321,0.000594321
61,251.723,1.07616,0.49072,0.00368,0.93173,0.87072,0.94409,0.65047,1.16302,0.543,0.00469,0.000580174,0.000580174,0.000580174
62,256.177,1.05373,0.4735,0.00365,0.96982,0.84983,0.96026,0.65681,1.18427,0.52812,0.00479,0.000566027,0.000566027,0.000566027
63,260.352,1.06376,0.46331,0.00367,0.8818,0.88177,0.94031,0.67432,1.14751,0.54072,0.00463,0.00055188,0.00055188,0.00055188
64,264.375,1.07618,0.50216,0.0035,0.82285,0.90783,0.92956,0.65197,1.12485,0.55703,0.00463,0.000537733,0.000537733,0.000537733
65,268.385,1.06235,0.4962,0.00367,0.86397,0.85338,0.93569,0.65004,1.17801,0.55775,0.00478,0.000523586,0.000523586,0.000523586
66,272.382,1.09744,0.48327,0.00376,0.82269,0.90241,0.94051,0.66309,1.16865,0.54067,0.00474,0.000509438,0.000509438,0.000509438
67,276.366,1.08465,0.48204,0.00376,0.86482,0.89648,0.95219,0.66603,1.15654,0.52588,0.00465,0.000495291,0.000495291,0.000495291
68,280.388,1.0404,0.46591,0.00349,0.91831,0.87487,0.96809,0.67559,1.15279,0.48173,0.0047,0.000481144,0.000481144,0.000481144
69,284.368,1.0494,0.47239,0.00365,0.8977,0.87636,0.95735,0.65494,1.16964,0.4991,0.00473,0.000466997,0.000466997,0.000466997
70,288.38,1.03328,0.46334,0.00349,0.88681,0.90486,0.95948,0.66989,1.13284,0.53358,0.00457,0.00045285,0.00045285,0.00045285
71,292.437,1.08503,0.45631,0.00374,0.882,0.85619,0.95272,0.65024,1.19474,0.52224,0.00477,0.000438703,0.000438703,0.000438703
72,296.429,1.04984,0.47292,0.00356,0.92964,0.84834,0.95174,0.66919,1.14705,0.52763,0.00463,0.000424556,0.000424556,0.000424556
73,300.399,1.0387,0.46229,0.00366,0.95178,0.85594,0.94877,0.66452,1.17546,0.51769,0.00472,0.000410409,0.000410409,0.000410409
74,304.389,1.03075,0.47236,0.00352,0.97218,0.84909,0.94072,0.6469,1.18648,0.53254,0.00484,0.000396262,0.000396262,0.000396262
75,308.447,1.04986,0.46512,0.00363,0.95737,0.84103,0.94018,0.6531,1.17025,0.53779,0.00475,0.000382115,0.000382115,0.000382115
