epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,172.712,1.08072,0.59102,0.99509,0.97195,0.83129,0.9549,0.63586,1.17226,0.57185,1.01964,0.000848969,0.000848969,0.000848969
43,176.676,1.09658,0.56773,0.99184,0.94643,0.92202,0.98366,0.66026,1.15091,0.58497,1.01777,0.000834822,0.000834822,0.000834822
44,180.575,1.07557,0.58364,0.9856,0.95276,0.90853,0.98271,0.66055,1.16335,0.57715,1.02076,0.000820675,0.000820675,0.000820675
45,184.522,1.07231,0.56684,0.99386,0.97513,0.93832,0.98642,0.66139,1.14572,0.56318,1.00572,0.000806528,0.000806528,0.000806528
46,188.472,1.05813,0.56264,0.97699,0.99175,0.92921,0.98788,0.62514,1.19953,0.56992,1.02758,0.00079238,0.00079238,0.00079238
47,192.436,1.09212,0.57699,0.99082,0.99169,0.95712,0.98883,0.62523,1.16251,0.57642,1.0132,0.000778233,0.000778233,0.000778233
48,196.471,1.05658,0.57581,0.98509,0.97147,0.93118,0.98705,0.63101,1.16411,0.57804,1.02091,0.000764086,0.000764086,0.000764086
49,200.403,1.04164,0.54469,0.97655,0.99134,0.94267,0.98721,0.64262,1.16038,0.57107,1.01275,0.000749939,0.000749939,0.000749939
50,204.39,1.04949,0.56858,0.98039,0.88429,0.95644,0.97313,0.67615,1.15232,0.56088,1.02513,0.000735792,0.000735792,0.000735792
51,208.339,1.07273,0.55322,0.9883,0.92548,0.94625,0.98759,0.66279,1.16128,0.56372,1.01336,0.000721645,0.000721645,0.000721645
52,212.265,1.0146,0.53314,0.96668,0.98718,0.9351,0.98554,0.67105,1.14889,0.55851,1.01569,0.000707498,0.000707498,0.000707498
53,216.162,1.043,0.54149,0.982,0.92246,0.92476,0.97358,0.6311,1.18691,0.56066,1.02267,0.000693351,0.000693351,0.000693351
54,220.05,1.04294,0.55316,0.98176,0.9563,0.86039,0.97812,0.63807,1.14806,0.55332,1.00653,0.000679204,0.000679204,0.000679204
55,223.921,1.03378,0.55133,0.9667,0.96907,0.94246,0.98678,0.69124,1.15335,0.5624,1.01799,0.000665057,0.000665057,0.000665057
56,228.171,1.03787,0.54727,0.96984,0.97802,0.93932,0.98796,0.67948,1.14697,0.54853,1.0098,0.000650909,0.000650909,0.000650909
57,232.828,1.05902,0.55897,0.97244,0.94251,0.93526,0.97987,0.66734,1.16568,0.56344,1.0083,0.000636762,0.000636762,0.000636762
58,236.911,1.03414,0.53809,0.97746,0.93624,0.93229,0.97948,0.64851,1.16143,0.55354,1.01349,0.000622615,0.000622615,0.000622615
59,240.769,1.04376,0.53882,0.9813,0.95217,0.89444,0.95986,0.64196,1.13715,0.55744,1.005,0.000608468,0.000608468,0.000608468
60,244.646,1.02859,0.541,0.98043,0.9644,0.9182,0.97827,0.65595,1.15316,0.55545,1.00884,0.000594321,0.000594321,0.000594321
61,248.622,1.04037,0.53709,0.97549,0.96815,0.94079,0.97766,0.6449,1.1569,0.54021,1.01742,0.000580174,0.000580174,0.000580174
62,252.523,1.02994,0.51894,0.96763,0.95042,0.93992,0.98182,0.63476,1.15609,0.54493,1.01089,0.000566027,0.000566027,0.000566027
63,256.417,1.02979,0.52699,0.96891,0.9631,0.9398,0.98233,0.64036,1.14759,0.53763,1.0024,0.00055188,0.00055188,0.00055188
64,260.26,1.02245,0.50932,0.96814,0.93506,0.9265,0.97177,0.64353,1.13906,0.543,1.00786,0.000537733,0.000537733,0.000537733
65,264.246,1.01512,0.51538,0.97413,0.94655,0.94225,0.97831,0.65735,1.1192,0.54477,1.00272,0.000523586,0.000523586,0.000523586
66,268.111,1.04825,0.54849,0.97289,0.96123,0.95123,0.98432,0.64272,1.12324,0.53896,1.00263,0.000509438,0.000509438,0.000509438
67,272.016,1.03892,0.52554,0.98415,0.95516,0.96364,0.98893,0.64521,1.13209,0.52902,1.00788,0.000495291,0.000495291,0.000495291
68,275.88,1.02802,0.50946,0.96133,0.96079,0.94286,0.9821,0.6451,1.1632,0.54961,1.01154,0.000481144,0.000481144,0.000481144
69,279.719,1.0344,0.52583,0.97232,0.94807,0.94754,0.98928,0.64625,1.14885,0.53301,1.00092,0.000466997,0.000466997,0.000466997
70,283.605,0.97822,0.49757,0.94859,0.94063,0.95722,0.98657,0.66042,1.1236,0.53043,0.99579,0.00045285,0.00045285,0.00045285
71,287.491,1.00406,0.5035,0.95311,0.96533,0.90781,0.97927,0.65494,1.11927,0.52455,0.99757,0.000438703,0.000438703,0.000438703
