epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,143.297,1.06195,0.57018,0.97621,0.94081,0.95653,0.98886,0.66462,1.11529,0.53425,0.99977,0.000848969,0.000848969,0.000848969
43,146.734,1.05258,0.55408,0.96756,0.8823,0.91503,0.94561,0.63424,1.1216,0.53581,0.99867,0.000834822,0.000834822,0.000834822
44,150.021,1.02629,0.54783,0.96922,0.89251,0.93975,0.97164,0.66016,1.13797,0.54493,1.00225,0.000820675,0.000820675,0.000820675
45,153.317,1.0334,0.53836,0.96711,0.92623,0.92852,0.97834,0.65897,1.10969,0.53371,1.00764,0.000806528,0.000806528,0.000806528
46,156.627,1.02978,0.54696,0.95702,0.96514,0.9214,0.98811,0.65529,1.13182,0.55036,1.0027,0.00079238,0.00079238,0.00079238
47,159.958,1.04276,0.53635,0.96425,0.97296,0.94349,0.98829,0.64858,1.11267,0.54396,0.99506,0.000778233,0.000778233,0.000778233
48,163.265,1.02041,0.52661,0.96686,0.97403,0.92886,0.98689,0.65094,1.11382,0.51381,0.98875,0.000764086,0.000764086,0.000764086
49,166.603,1.02849,0.5373,0.96558,0.97367,0.95283,0.99086,0.66697,1.10277,0.52078,0.99977,0.000749939,0.000749939,0.000749939
50,170.066,1.05116,0.54534,0.96772,0.9594,0.98096,0.99224,0.67193,1.13837,0.54193,1.00153,0.000735792,0.000735792,0.000735792
51,173.411,1.0264,0.53043,0.97011,0.97509,0.90895,0.98677,0.6673,1.13791,0.53273,1.00043,0.000721645,0.000721645,0.000721645
52,177.282,1.02438,0.52015,0.96679,0.94955,0.9291,0.98595,0.65574,1.13263,0.53366,1.00224,0.000707498,0.000707498,0.000707498
53,181.074,1.04803,0.53678,0.97025,0.98126,0.9145,0.98287,0.67362,1.11648,0.53703,1.01329,0.000693351,0.000693351,0.000693351
54,184.549,1.02995,0.52442,0.9656,0.93257,0.90927,0.98425,0.6684,1.09811,0.52912,0.99916,0.000679204,0.000679204,0.000679204
55,187.88,1.02418,0.53045,0.96422,0.91804,0.93497,0.98552,0.66325,1.1031,0.52497,1.00313,0.000665057,0.000665057,0.000665057
56,191.178,1.02427,0.52077,0.96434,0.96461,0.94973,0.98188,0.65016,1.09607,0.51514,0.99018,0.000650909,0.000650909,0.000650909
57,194.471,1.02868,0.52909,0.95774,0.91243,0.96343,0.98548,0.66825,1.10215,0.53164,0.99667,0.000636762,0.000636762,0.000636762
58,197.873,1.01107,0.52403,0.96824,0.87733,0.92715,0.98127,0.6499,1.0951,0.5236,0.98095,0.000622615,0.000622615,0.000622615
59,201.247,1.01019,0.51154,0.96534,0.97407,0.90592,0.98226,0.64735,1.12153,0.51463,1.00179,0.000608468,0.000608468,0.000608468
60,204.646,1.01797,0.50953,0.95724,0.96203,0.89998,0.98077,0.63909,1.10806,0.51824,0.98327,0.000594321,0.000594321,0.000594321
61,207.994,0.98628,0.49137,0.95373,0.96679,0.91787,0.9869,0.66179,1.10363,0.51308,0.98517,0.000580174,0.000580174,0.000580174
62,211.409,1.0037,0.50766,0.95446,0.97065,0.89578,0.97867,0.65482,1.10066,0.51158,0.99318,0.000566027,0.000566027,0.000566027
63,214.968,0.99469,0.50307,0.95712,0.98171,0.92893,0.99125,0.66105,1.11835,0.52052,1.0017,0.00055188,0.00055188,0.00055188
64,218.364,0.99379,0.52069,0.95965,0.9715,0.9358,0.989,0.65642,1.09331,0.51024,0.98653,0.000537733,0.000537733,0.000537733
65,221.682,1.00039,0.50537,0.96259,0.97436,0.92727,0.9866,0.63981,1.12299,0.51015,0.99636,0.000523586,0.000523586,0.000523586
66,225.121,0.99844,0.51391,0.94685,0.97322,0.91931,0.98325,0.65961,1.09953,0.50362,0.98922,0.000509438,0.000509438,0.000509438
67,228.479,1.00578,0.50752,0.95426,0.93839,0.93052,0.98005,0.64666,1.09442,0.50359,0.98629,0.000495291,0.000495291,0.000495291
68,231.87,0.99072,0.49543,0.95243,0.9618,0.91932,0.98281,0.63082,1.10962,0.49922,0.98503,0.000481144,0.000481144,0.000481144
69,235.182,0.97413,0.49404,0.95179,0.97217,0.93757,0.98744,0.65531,1.08726,0.51118,0.99087,0.000466997,0.000466997,0.000466997
70,238.616,0.9905,0.49929,0.94958,0.9822,0.91968,0.98125,0.62947,1.10915,0.511,0.99577,0.00045285,0.00045285,0.00045285
71,242.039,1.0068,0.51967,0.95584,0.96312,0.89984,0.97918,0.63828,1.11725,0.4982,0.99787,0.000438703,0.000438703,0.000438703
72,245.78,1.00239,0.49729,0.94906,0.91179,0.96925,0.98694,0.65459,1.10777,0.51595,1.00526,0.000424556,0.000424556,0.000424556
73,249.417,0.98452,0.49595,0.95553,0.96024,0.88595,0.97805,0.64965,1.09661,0.49327,0.99381,0.000410409,0.000410409,0.000410409
74,252.792,0.9828,0.48955,0.94195,0.98736,0.91849,0.98708,0.63548,1.13707,0.50751,0.99621,0.000396262,0.000396262,0.000396262
75,256.253,0.98305,0.48675,0.95772,0.95898,0.92267,0.98356,0.64718,1.10802,0.50299,0.99921,0.000382115,0.000382115,0.000382115
76,259.573,0.97558,0.49181,0.95974,0.98004,0.91346,0.98811,0.63712,1.13358,0.5014,1.00545,0.000367967,0.000367967,0.000367967
77,262.91,0.99741,0.49071,0.95695,0.96572,0.89052,0.98271,0.63586,1.14188,0.50581,1.00825,0.00035382,0.00035382,0.00035382
78,266.259,0.96266,0.47957,0.9429,0.94435,0.90176,0.98037,0.65227,1.12639,0.49672,1.00193,0.000339673,0.000339673,0.000339673
79,269.654,0.96028,0.48862,0.94635,0.96137,0.92695,0.98222,0.65534,1.12223,0.49926,0.99725,0.000325526,0.000325526,0.000325526
80,273.005,0.97436,0.48982,0.94302,0.95054,0.9284,0.97933,0.63355,1.12042,0.50949,0.99813,0.000311379,0.000311379,0.000311379
81,276.338,0.97567,0.49525,0.94445,0.9556,0.91397,0.98183,0.66673,1.11581,0.49817,0.99949,0.000297232,0.000297232,0.000297232
82,279.649,0.96094,0.47424,0.94817,0.94172,0.90283,0.97816,0.65956,1.12283,0.49946,1.00132,0.000283085,0.000283085,0.000283085
83,283.021,0.97849,0.48343,0.95251,0.92985,0.92018,0.97754,0.66169,1.11092,0.48689,0.99609,0.000268938,0.000268938,0.000268938
84,286.341,0.96062,0.47962,0.94243,0.92503,0.90351,0.98095,0.65129,1.12134,0.48024,0.99697,0.000254791,0.000254791,0.000254791
85,289.657,0.94121,0.46439,0.93756,0.94876,0.89965,0.97952,0.66335,1.10943,0.48651,0.99413,0.000240644,0.000240644,0.000240644
86,292.957,0.95578,0.47028,0.9448,0.94389,0.90258,0.97797,0.64534,1.12762,0.48576,1.0026,0.000226497,0.000226497,0.000226497
87,296.26,0.97267,0.47645,0.94304,0.94188,0.89569,0.97973,0.65824,1.09817,0.47567,0.99441,0.000212349,0.000212349,0.000212349
88,299.569,0.94481,0.45952,0.94386,0.94243,0.8671,0.98144,0.65969,1.10981,0.4772,0.99315,0.000198202,0.000198202,0.000198202
89,302.854,0.94732,0.46609,0.9411,0.94331,0.88392,0.98168,0.65884,1.10622,0.4757,0.99365,0.000184055,0.000184055,0.000184055
90,306.165,0.95424,0.45504,0.93484,0.93508,0.90076,0.98235,0.65568,1.10698,0.47209,0.99178,0.000169908,0.000169908,0.000169908
91,310.587,0.9109,0.43341,0.93068,0.89096,0.96767,0.98435,0.64784,1.1242,0.47459,0.99757,0.000155761,0.000155761,0.000155761
92,314.341,0.91411,0.4279,0.92541,0.89228,0.9646,0.9842,0.65381,1.09292,0.46578,0.98662,0.000141614,0.000141614,0.000141614
93,317.692,0.9031,0.41646,0.93046,0.89028,0.96764,0.98496,0.66279,1.09691,0.4705,0.99077,0.000127467,0.000127467,0.000127467
94,320.979,0.91359,0.42336,0.93276,0.88909,0.96667,0.98529,0.65086,1.10389,0.47049,0.99006,0.00011332,0.00011332,0.00011332
95,324.28,0.91767,0.42135,0.93514,0.9462,0.89491,0.98525,0.66066,1.09414,0.47319,0.98585,9.91726e-05,9.91726e-05,9.91726e-05
96,327.55,0.89349,0.4216,0.93003,0.93866,0.90551,0.9853,0.6635,1.10231,0.47535,0.98692,8.50255e-05,8.50255e-05,8.50255e-05
97,330.725,0.90825,0.41896,0.9301,0.93791,0.90358,0.98461,0.66551,1.09544,0.47118,0.98654,7.08784e-05,7.08784e-05,7.08784e-05
98,333.917,0.91245,0.42052,0.93958,0.89015,0.96407,0.98461,0.6572,1.10005,0.47171,0.98963,5.67313e-05,5.67313e-05,5.67313e-05
99,337.106,0.89522,0.41605,0.92098,0.88856,0.96546,0.98532,0.65413,1.1026,0.47455,0.99383,4.25842e-05,4.25842e-05,4.25842e-05
100,340.299,0.89854,0.418,0.92776,0.88899,0.9652,0.98444,0.65193,1.10203,0.474,0.99478,2.84371e-05,2.84371e-05,2.84371e-05
